CIS_C01;1;Inventaire et contrôle des biens matériels;Gérer activement (inventorier, suivre et corriger) tous les dispositifs matériels sur le réseau afin que seuls les dispositifs autorisés y aient accès, et que les dispositifs non autorisés et non gérés soient trouvés et empêchés d’y accéder.;cis
CIS_C02;1;Inventaire et contrôle des actifs logiciels;Gérer activement (inventorier, suivre et corriger) tous les logiciels sur le réseau afin que seuls les logiciels autorisés soient installés et puissent être exécutés, et que tous les logiciels non autorisés et non gérés soient trouvés et empêchés d’être installés ou exécutés.;cis
CIS_C03;1;Gestion continue des vulnérabilités;Acquérir, évaluer et prendre des mesures continues à l’égard de nouveaux renseignements afin d'identifier les vulnérabilités, de corriger et de réduire au minimum les occasions pour les attaquants.;cis
CIS_C04;1;Utilisation contrôlée des privilèges administratifs;Les processus et outils utilisés pour suivre, contrôler, prévenir ou corriger l’utilisation, l’affectation et la configuration des privilèges administratifs sur les ordinateurs, les réseaux et les applications.;cis
CIS_C05;1;Configuration sécurisée du matériel et des logiciels sur les appareils mobiles, les ordinateurs portables, les postes de travail et les serveurs;Établir, mettre en œuvre et gérer activement (suivre, signaler, corriger) la configuration de sécurité des appareils mobiles, ordinateurs portables, serveurs et postes de travail utilisant un processus rigoureux de gestion de la configuration et de contrôle des changements afin d’empêcher les attaquants d’exploiter les services et les paramètres vulnérables. ;cis
CIS_C06;1;Maintenance, surveillance et analyse des registres de vérification;Collecter, gérer et analyser les journaux d’audit d’événements qui pourraient aider à détecter, comprendre ou récupérer d’une attaque. ;cis
CIS_C07;1;Protection des courriels et des navigateurs Web;Minimiser la surface d’attaque et les possibilités pour les attaquants de manipuler le comportement humain par leur interaction avec les navigateurs Web et les systèmes de courriel.;cis
CIS_C08;1;Défenses contre les logiciels malveillants;Contrôler l’installation, la diffusion et l’exécution du code malveillant en plusieurs points de l’entreprise, tout en optimisant l’utilisation de l’automatisation pour permettre une mise à jour rapide de la défense, la collecte de données et les mesures correctives.;cis
CIS_C09;1;Limitation et contrôle des ports, protocoles et services réseau;Gérer (suivre/contrôler/corriger) l’utilisation opérationnelle continue des ports, protocoles et services sur les périphériques en réseau afin de minimiser les fenêtres de vulnérabilité disponibles pour les attaquants;cis
CIS_C10;1;Capacités de récupération de données;Les processus et les outils utilisés pour sauvegarder correctement l’information critique avec une méthodologie éprouvée pour la récupération en temps opportun.;cis
CIS_C11;1;Configuration sécurisée des dispositifs réseau, tels que les pare-feu, les routeurs et les commutateurs;Établir, mettre en œuvre et gérer activement (suivre, signaler, corriger) la configuration de sécurité des dispositifs d’infrastructure réseau au moyen d’un processus rigoureux de gestion de la configuration et de contrôle des changements afin d’empêcher les attaquants d’exploiter les services et les paramètres vulnérables.;cis
CIS_C12;1;Boundary Defense;Détecter/prévenir/corriger le flux d’informations transféré à travers des réseaux de différents niveaux de confiance en mettant l’accent sur les données dangereuses pour la sécurité.;cis
CIS_C13;1;Protection des données;Les processus et les outils utilisés pour prévenir l’exfiltration des données, atténuer les effets des données exfiltrées et assurer la confidentialité et l’intégrité des renseignements sensibles.;cis
CIS_C14;1;Accès contrôlé fondé sur le besoin de savoir;Les processus et les outils utilisés pour suivre, contrôler, prévenir et corriger l’accès sécurisé aux biens essentiels (p. ex., information, ressources, systèmes) en fonction de la détermination officielle des personnes, les ordinateurs et les applications ont le besoin et le droit d’accéder à ces biens essentiels en fonction d’une classification approuvée.;cis
CIS_C15;1;Contrôle d'accès sans fil;Processus et outils utilisés pour suivre/contrôler/prévenir/corriger l’utilisation sécurisée des réseaux locaux sans fil (WLAN), des points d’accès et des systèmes clients sans fil.;cis
CIS_C16;1;Surveillance et contrôle des comptes;Gérer activement le cycle de vie des comptes de système et d’application – leur création, leur utilisation, leur dormance, leur suppression – afin de minimiser les occasions pour les attaquants de les exploiter.;cis
CIS_C17;1;Mettre en œuvre un programme de sensibilisation et de formation à la sécurité;Pour tous les rôles fonctionnels de l’organisation (prioriser ceux qui sont essentiels à la mission de l’entreprise et à sa sécurité), déterminer les connaissances, les compétences et les aptitudes particulières nécessaires pour appuyer la défense de l’entreprise; élaborer et exécuter un plan intégré pour évaluer, cerner les lacunes et y remédier grâce à des programmes de politiques, de planification organisationnelle, de formation et de sensibilisation.;cis
CIS_C18;1;Sécurité des logiciels d’application;Gérer le cycle de vie de tous les logiciels développés et acquis à l’interne afin de prévenir, de détecter et de corriger les faiblesses en matière de sécurité.;cis
CIS_C19;1;Intervention et gestion des incidents;Protéger l’information de l’organisation, ainsi que sa réputation, en élaborant et en mettant en œuvre une infrastructure d’intervention en cas d’incident (p. ex., plans, rôles définis, formation, communications, surveillance de la gestion) pour découvrir rapidement une attaque et ensuite contenir efficacement les dégâts, éradiquer la présence de l’attaquant, et restaurer l’intégrité du réseau et des systèmes;cis
CIS_C20;1;Tests de pénétration et exercices de Red Team;Testez la force globale de la défense d’une organisation (la technologie, les processus et les personnes) en simulant les objectifs et les actions d’un attaquant.;cis
